Station,Week,AAS,TLH,CUME,SS,TSL
414 Music,2025-01-13,0.896628638,150.6336111,63,172,02:23
414 Music,2025-03-24,0.874479167,146.9125,83,167,01:46
414 Music,2024-03-25,0.871339286,146.385,42,89,03:29
414 Music,2025-05-19,0.866127646,145.5094444,61,130,02:23
414 Music,2024-10-28,0.842595899,141.5561111,50,129,02:50
414 Music,2024-06-24,0.839262566,140.9961111,38,164,03:43
414 Music,2024-01-15,0.825729167,138.7225,40,85,03:28
414 Music,2024-03-18,0.825710979,138.7194444,38,166,03:39
414 Music,2024-02-26,0.822065146,138.1069444,41,81,03:22
414 Music,2025-02-10,0.817334656,137.3122222,94,231,01:28
414 Music,2024-08-12,0.787642196,132.3238889,39,117,03:24
414 Music,2025-01-20,0.783091931,131.5594444,80,154,01:39
414 Music,2024-01-29,0.757402447,127.2436111,49,102,02:36
414 Music,2024-06-10,0.757387566,127.2411111,47,169,02:42
414 Music,2024-02-19,0.736964286,123.81,47,119,02:38
414 Music,2025-05-05,0.730646495,122.7486111,65,181,01:53
414 Music,2024-11-04,0.689750331,115.8780556,61,136,01:54
414 Music,2024-10-07,0.684208003,114.9469444,66,195,01:45
414 Music,2024-08-19,0.66932705,112.4469444,40,108,02:49
414 Music,2024-07-08,0.667311508,112.1083333,64,165,01:45
414 Music,2024-07-29,0.662602513,111.3172222,49,112,02:16
414 Music,2024-09-09,0.640830026,107.6594444,38,101,02:50
414 Music,2024-10-14,0.637420635,107.0866667,43,111,02:29
414 Music,2024-03-11,0.614596561,103.2522222,35,87,02:57
414 Music,2024-05-27,0.597071759,100.3080556,49,97,02:03
414 Music,2025-01-06,0.593258929,99.6675,98,235,01:01
414 Music,2025-09-15,0.568991402,95.59055556,84,209,01:08
414 Music,2024-11-18,0.568138228,95.44722222,66,121,01:27
414 Music,2024-06-03,0.562276786,94.4625,54,120,01:45
414 Music,2024-09-23,0.558660714,93.855,69,119,01:22
