Station,Hour of day,Week,AAS,TLH,CUME,SS,TSL
WYMSHD2,4,2024-07-15,0.958888889,6.712222222,6,2,01:07
414 Music,7,2025-01-13,0.958452381,6.709166667,8,9,00:50
414 Music,16,2024-10-07,0.957222222,6.700555556,11,20,00:37
WYMSHD2,3,2024-06-10,0.957142857,6.7,7,1,00:57
414 Music,4,2025-04-07,0.956785714,6.6975,6,5,01:07
414 Music,10,2024-06-10,0.956785714,6.6975,6,8,01:07
414 Music,17,2024-10-21,0.956309524,6.694166667,6,8,01:07
414 Music,7,2024-10-14,0.955595238,6.689166667,5,4,01:20
414 Music,15,2024-03-11,0.955555556,6.688888889,12,11,00:33
414 Music,7,2024-09-02,0.953531746,6.674722222,4,5,01:40
414 Music,9,2024-03-18,0.952420635,6.666944444,8,4,00:50
414 Music,5,2024-03-25,0.95234127,6.666388889,6,3,01:07
